episode,action_0,action_1,action_2
875,38,40,39
876,13,11,176
877,25,23,102
878,10,13,21
879,24,34,45
880,1,1,6
881,27,33,22
882,16,18,48
883,13,21,34
884,10,14,10
885,1,0,199
886,5,5,14
887,3,0,157
888,7,10,183
889,35,30,37
890,5,6,19
891,1,2,7
892,8,6,186
893,3,2,5
894,61,45,94
895,3,2,11
896,8,14,21
897,52,79,69
898,34,33,133
899,7,12,181
900,8,15,28
901,8,12,86
902,2,5,10
903,9,20,18
904,21,21,158
905,9,12,17
906,19,14,21
907,6,6,76
908,1,1,12
909,29,21,150
910,0,2,9
911,4,5,5
912,19,13,27
913,12,8,27
914,52,55,93
915,4,1,9
916,0,1,6
917,55,44,101
918,77,48,75
919,75,95,30
920,7,11,11
921,32,38,96
922,91,83,26
923,75,36,89
924,94,57,49
925,86,48,66
926,87,52,61
927,91,43,66
928,2,1,6
929,56,28,39
930,2,0,2
931,57,31,92
932,56,67,46
933,58,61,81
934,23,14,35
935,79,49,72
936,8,8,9
937,12,9,11
938,50,44,106
939,5,1,5
940,45,17,90
941,1,3,29
942,0,0,2
943,8,5,187
944,7,1,37
945,58,30,112
946,30,13,81
947,31,28,62
948,1,1,7
949,1,1,9
950,9,16,12
951,3,1,8
952,20,12,34
953,0,1,6
954,20,6,174
955,13,5,182
956,42,24,46
957,7,5,13
958,0,2,2
959,30,18,152
960,4,2,14
961,45,26,129
962,5,3,5
963,8,6,28
964,4,4,20
965,48,33,119
966,5,3,16
967,13,12,29
968,12,6,18
969,8,10,17
970,1,3,7
971,58,56,86
972,35,28,137
973,36,55,73
974,11,6,4
975,32,30,128
976,7,13,16
977,76,76,48
978,49,67,84
979,63,81,56
980,49,69,52
981,10,11,12
982,4,20,13
983,62,91,47
984,5,10,24
985,5,13,26
986,0,1,4
987,3,5,6
988,1,2,6
989,63,108,28
990,54,107,29
991,75,103,22
992,21,21,22
993,5,8,5
994,5,3,9
995,0,1,13
996,61,76,63
997,51,70,79
998,2,0,11
999,55,66,79
1000,3,1,14
