episode,action_0,action_1,action_2,action_3,action_4
566,59,53,121,131,86
567,63,61,125,131,70
568,37,45,165,122,81
569,37,37,155,124,97
570,65,61,123,119,82
571,29,29,184,128,80
572,28,37,174,129,82
573,39,29,152,106,124
574,59,48,125,128,90
575,48,51,176,100,75
576,37,52,155,113,93
577,46,57,115,117,115
578,73,58,140,110,69
579,70,51,119,122,88
580,72,57,114,120,87
581,86,62,105,112,85
582,70,59,114,119,88
583,99,58,128,87,78
584,63,78,118,94,97
585,70,87,108,103,82
586,71,71,111,107,90
587,70,69,121,120,70
588,68,75,127,94,86
589,70,66,135,101,78
590,83,75,102,120,70
591,92,92,116,80,70
592,99,77,110,89,75
593,75,76,109,115,75
594,72,61,117,119,81
595,86,76,111,98,79
596,71,74,95,126,84
597,48,49,151,127,75
598,75,89,104,97,85
599,67,63,120,118,82
600,62,43,89,83,80
601,86,76,109,103,76
602,39,36,79,58,47
603,69,62,123,104,92
604,37,53,145,114,83
605,48,47,151,130,74
606,33,26,127,113,85
607,64,52,126,125,83
608,26,34,189,131,70
609,41,39,164,109,97
610,47,30,132,134,107
611,61,53,141,119,76
612,71,51,146,95,87
613,61,71,121,111,86
614,63,59,123,123,82
615,46,57,136,128,83
616,52,57,125,133,83
617,17,16,183,130,104
618,7,34,183,134,92
619,10,19,118,196,107
620,48,52,143,133,74
621,12,4,148,185,101
622,38,45,169,126,72
623,36,30,124,162,98
624,34,44,157,126,89
625,27,32,176,129,86
626,45,29,127,154,95
627,32,46,156,137,79
628,43,52,173,110,72
629,36,53,170,126,65
630,47,41,169,114,79
631,36,28,179,113,93
632,28,24,230,95,73
633,37,41,196,93,83
634,46,39,175,103,87
635,33,41,163,120,93
636,38,45,171,111,85
637,34,36,202,110,68
638,29,32,156,127,106
639,42,51,168,113,76
640,18,23,112,56,38
641,42,55,180,105,68
642,60,45,150,120,75
643,53,50,163,115,69
644,51,61,153,119,66
645,59,25,142,136,88
646,67,37,115,141,90
647,56,22,163,111,98
648,60,35,141,123,91
649,80,39,124,119,88
650,53,29,192,100,76
651,52,43,176,92,87
652,64,36,142,108,100
653,74,68,136,92,80
654,66,48,141,108,87
655,74,39,137,100,100
656,69,51,131,108,91
657,51,59,143,100,97
658,67,58,126,106,93
659,67,64,120,109,90
660,47,56,97,78,51
661,71,40,143,109,87
662,83,58,131,106,72
663,56,66,124,122,82
664,72,56,147,104,71
665,42,42,137,95,68
666,46,39,161,118,53
667,18,19,194,121,54
668,26,19,189,158,58
669,27,38,202,114,69
670,51,47,174,107,71
671,22,21,189,133,85
672,47,39,152,124,88
673,40,57,150,123,80
674,36,43,158,120,93
675,37,54,151,128,80
676,48,75,120,124,83
677,50,55,120,99,68
678,33,51,173,116,77
679,34,65,162,108,81
680,40,33,113,77,34
681,54,61,169,95,71
682,36,69,166,96,83
683,22,27,77,62,54
684,20,24,137,86,72
685,45,38,177,113,77
686,43,42,185,102,78
687,56,55,155,102,82
688,43,54,169,108,76
689,35,65,177,93,80
690,47,55,160,104,84
691,50,54,174,85,87
692,51,35,153,85,126
693,47,75,136,79,113
694,45,77,147,77,104
695,34,77,121,97,121
696,39,77,133,92,109
697,48,70,135,90,107
698,50,94,122,87,97
699,46,86,128,96,94
700,25,38,64,32,35
701,41,83,140,89,97
702,47,95,133,88,87
703,44,83,142,96,85
704,41,81,153,79,96
705,45,68,149,76,112
706,40,84,129,94,103
707,60,89,120,90,91
708,45,91,126,95,93
709,32,70,151,82,115
710,41,69,160,62,118
711,17,40,212,43,138
712,29,71,178,80,92
713,48,47,157,92,106
714,33,73,180,71,93
715,55,82,146,70,97
716,37,109,147,75,82
717,34,101,145,86,84
718,46,86,134,89,77
719,41,46,165,67,131
720,38,69,141,74,128
721,41,98,131,92,88
722,44,100,155,74,77
723,27,94,177,71,81
724,52,63,166,71,98
725,41,75,184,83,67
726,36,68,182,79,85
727,34,70,164,83,99
728,44,59,185,76,86
729,12,33,238,55,112
730,26,43,225,85,71
731,38,53,170,69,120
732,8,21,70,31,31
733,23,47,212,62,106
734,33,55,200,91,71
735,24,63,199,75,89
736,20,55,145,61,169
737,26,53,198,72,101
738,39,89,160,65,97
739,18,54,169,65,144
740,42,54,172,65,117
741,35,81,160,77,97
742,36,68,88,44,53
743,50,64,151,95,90
744,29,66,117,52,64
745,52,87,136,86,89
746,48,84,168,82,68
747,48,104,153,73,72
748,27,52,181,81,109
