episode,action_0,action_1,action_2,action_3,action_4
511,35,70,156,116,73
512,45,71,160,107,67
513,38,72,162,104,74
514,50,65,148,106,81
515,38,67,179,114,52
516,49,71,169,87,74
517,42,67,151,123,67
518,37,76,180,103,54
519,35,71,176,108,60
520,29,86,162,96,77
521,32,70,168,113,67
522,42,74,148,120,66
523,42,76,154,109,69
524,31,64,161,116,78
525,38,69,146,122,75
526,35,88,168,100,59
527,33,89,136,123,69
528,31,80,165,104,70
529,34,81,142,112,81
530,37,80,156,121,56
531,48,85,139,97,81
532,40,82,158,91,79
533,42,76,144,112,76
534,37,76,163,108,66
535,36,81,140,112,81
536,39,88,155,92,76
537,40,81,149,104,76
538,23,88,151,124,64
539,28,77,158,114,73
540,25,70,164,126,65
541,32,81,161,95,81
542,36,78,145,116,75
543,36,90,135,116,73
544,36,81,148,104,81
545,36,80,153,103,78
546,26,91,141,118,74
547,28,74,155,88,105
548,36,60,160,116,78
549,36,67,180,88,79
550,30,58,139,82,68
551,37,81,173,91,68
552,43,83,158,92,74
553,42,60,174,96,78
554,35,80,166,106,63
555,40,85,140,110,75
556,45,80,149,97,79
557,36,68,144,92,70
558,34,77,152,108,79
559,41,72,176,93,68
560,20,57,132,70,70
561,34,66,171,87,92
562,34,60,181,88,87
563,31,78,151,96,94
564,31,61,171,106,81
565,37,87,135,106,85
566,34,72,150,105,89
567,47,64,138,111,90
568,52,85,125,99,89
569,46,70,142,95,97
570,52,77,131,89,101
571,38,67,150,99,96
572,34,60,168,101,87
573,33,83,166,92,76
574,39,66,171,67,107
575,50,61,150,103,86
576,36,76,162,91,85
577,43,85,132,95,95
578,42,97,110,104,97
579,50,74,149,78,99
580,47,79,133,94,97
581,44,78,140,98,90
582,52,83,135,82,98
583,29,74,148,101,98
584,52,61,150,99,88
585,33,94,152,85,86
586,12,33,70,41,35
587,24,70,191,92,73
588,28,61,166,93,102
589,28,78,182,74,88
590,28,66,182,99,75
591,23,70,200,89,68
592,24,61,182,103,80
593,41,69,178,85,77
594,23,59,131,88,74
595,20,69,174,113,74
596,27,67,177,106,73
597,24,65,177,106,78
598,30,61,175,102,82
599,34,61,182,98,75
600,21,79,182,89,79
601,27,55,194,86,88
602,27,58,186,85,94
603,24,62,187,84,93
604,38,71,155,85,101
605,31,78,166,100,75
606,26,73,168,98,85
607,31,66,170,94,89
608,46,67,171,85,81
609,31,67,173,102,77
610,47,58,154,88,103
611,33,70,152,108,87
612,35,65,190,84,76
613,43,57,176,86,88
614,38,65,178,92,77
615,40,59,171,103,77
616,36,55,169,102,88
617,34,62,177,95,82
618,37,68,167,76,102
619,18,73,202,75,82
620,31,76,189,77,77
621,41,54,194,89,72
622,33,74,187,85,71
623,40,71,176,80,83
624,38,61,177,75,99
625,42,68,175,75,90
626,20,32,104,57,64
627,45,54,178,90,83
628,31,63,171,93,92
629,37,61,183,86,83
630,44,66,166,93,81
631,60,58,138,91,103
632,52,69,155,81,93
633,68,76,136,92,78
634,35,60,95,52,63
635,44,69,159,82,96
636,44,65,167,88,86
637,50,79,144,82,95
638,65,72,152,66,95
639,30,84,143,97,96
640,45,69,156,88,92
641,60,82,129,79,100
642,50,74,152,82,92
643,46,69,169,86,80
644,52,75,149,86,88
645,53,86,148,86,77
646,50,83,140,93,84
647,59,63,115,110,103
648,64,71,145,87,83
649,47,76,140,94,93
650,59,85,139,81,86
651,58,69,153,89,81
652,48,73,153,91,85
653,51,80,146,80,93
654,46,77,163,78,86
655,38,70,161,92,89
656,51,71,153,85,90
657,38,63,159,94,96
658,28,70,165,88,99
659,28,58,194,86,84
660,34,62,166,104,84
661,42,81,165,89,73
662,46,71,158,93,82
663,53,61,162,95,79
664,43,61,161,103,82
665,32,68,182,95,73
666,22,72,171,98,87
667,30,72,180,99,69
668,39,46,186,103,76
669,42,58,185,101,64
670,27,71,214,73,65
671,31,67,163,115,74
672,33,49,207,90,71
673,27,66,188,105,64
674,28,47,203,94,78
675,31,52,189,95,83
676,24,41,150,76,57
677,28,68,158,99,97
678,33,55,183,106,73
679,32,63,171,105,79
680,32,54,211,88,65
681,30,45,230,77,68
682,22,59,220,75,74
683,17,43,237,76,77
684,33,51,235,69,62
685,26,55,233,75,61
686,38,50,207,84,71
687,33,56,182,92,87
688,38,61,206,79,66
689,32,64,195,79,80
690,22,53,216,87,72
691,25,51,214,79,81
692,28,53,186,71,78
693,20,55,238,75,62
694,25,43,232,83,67
695,29,79,181,76,85
696,39,68,189,73,81
697,27,47,220,78,78
698,27,43,234,73,73
699,25,56,245,70,54
700,18,27,178,55,42
701,5,14,91,38,30
702,27,40,261,75,47
703,20,40,247,91,52
704,26,48,233,79,64
705,28,45,246,83,48
706,22,43,204,98,83
707,32,37,230,85,66
708,21,37,231,91,70
709,22,41,228,83,76
710,28,49,222,81,70
711,32,55,190,79,94
712,26,63,213,84,64
713,39,35,215,95,66
714,32,62,189,84,83
715,31,45,217,74,83
716,18,54,216,83,79
717,27,65,189,92,77
718,36,63,173,97,81
719,51,72,155,85,87
720,43,67,177,84,79
721,34,74,163,100,79
722,26,58,225,81,60
723,41,71,200,76,62
724,24,49,241,72,64
725,24,48,231,86,61
726,28,60,204,88,70
727,39,44,179,95,93
728,29,45,214,89,73
729,32,44,198,115,61
730,44,41,199,99,67
731,35,49,179,102,85
732,36,67,187,106,54
733,45,46,172,114,73
734,40,63,165,97,85
735,45,73,150,99,83
736,28,42,191,102,87
737,39,49,175,108,79
738,31,60,176,102,81
739,42,55,180,92,81
740,26,48,185,110,81
741,30,59,195,100,66
742,32,52,203,100,63
743,12,40,229,105,64
744,37,41,196,89,87
745,22,32,252,97,47
746,23,36,208,101,82
747,30,51,181,107,81
748,26,37,222,90,75
749,19,33,249,98,51
750,25,43,211,96,75
751,22,35,216,92,85
752,24,41,223,98,64
753,25,57,174,99,95
754,22,40,238,94,56
755,9,13,310,78,40
756,18,21,273,85,53
757,33,50,218,92,57
758,26,37,242,73,72
759,23,33,229,93,72
760,38,37,225,82,68
761,35,44,188,110,73
762,31,55,180,112,72
763,33,53,177,105,82
764,2,11,63,25,18
765,10,23,271,94,52
766,9,18,84,58,17
767,47,52,153,102,96
768,26,42,226,80,76
769,12,17,137,56,33
770,41,50,179,109,71
771,36,52,174,108,80
772,33,36,205,95,81
773,43,62,155,101,89
774,33,41,187,97,92
775,32,50,181,106,81
776,24,40,194,107,85
777,45,68,133,95,109
778,40,49,146,119,96
779,16,32,247,93,62
780,27,62,166,125,70
