episode,action_0,action_1,action_2
767,7,1,7
768,7,4,9
769,5,8,13
770,2,1,2
771,4,4,11
772,4,3,3
773,20,14,17
774,18,22,23
775,16,16,11
776,8,7,13
777,7,2,3
778,9,9,14
779,8,4,13
780,7,6,11
781,6,7,14
782,6,8,14
783,3,1,8
784,16,8,14
785,2,4,11
786,4,7,7
787,8,9,11
788,5,3,8
789,2,2,5
790,9,5,7
791,0,3,14
792,14,17,21
793,7,11,16
794,19,14,17
795,1,1,6
796,6,4,7
797,6,16,11
798,6,4,9
799,2,0,5
800,6,7,16
801,16,10,17
802,7,8,11
803,19,20,22
804,8,8,9
805,7,8,14
806,19,17,31
807,1,0,5
808,5,3,7
809,6,4,10
810,11,6,9
811,1,0,6
812,12,15,15
813,17,19,21
814,7,12,13
815,2,1,7
816,1,5,8
817,11,10,11
818,4,4,10
819,4,3,8
820,18,16,15
821,6,8,12
822,9,11,15
823,8,6,8
824,7,5,11
825,8,10,14
826,2,4,8
827,12,6,10
828,2,4,8
829,8,6,14
830,15,14,16
831,10,4,12
832,10,6,6
833,5,5,4
834,4,8,16
835,5,10,14
836,5,9,13
837,0,1,3
838,7,12,15
839,6,8,12
840,5,10,13
841,9,10,7
842,2,7,10
843,7,7,13
844,16,7,15
845,6,10,11
846,8,6,15
847,1,0,10
848,6,11,17
849,6,6,9
850,2,2,6
851,16,7,19
852,6,3,10
853,16,10,18
854,4,3,5
855,8,12,15
856,16,17,13
857,4,3,7
858,11,17,11
859,6,9,15
860,6,8,11
861,1,2,5
862,3,2,5
863,5,13,12
864,15,11,24
865,7,6,11
866,12,11,12
867,6,3,7
868,6,4,14
869,8,8,10
870,8,7,8
871,4,4,7
872,17,9,12
873,10,13,18
874,5,5,8
875,5,7,7
876,8,6,13
877,1,3,7
878,2,3,6
879,11,5,11
880,13,18,14
881,4,5,10
882,6,4,11
883,6,4,7
884,3,2,5
885,4,5,7
886,8,12,10
887,5,10,14
888,2,4,6
889,2,3,6
890,11,5,12
891,4,4,10
892,4,3,8
893,6,3,10
894,1,3,9
895,5,20,15
896,4,7,14
897,4,6,10
898,6,5,7
899,7,8,14
900,7,12,10
901,4,8,10
902,5,10,10
903,28,19,21
904,6,5,12
905,9,10,14
906,14,8,13
907,6,4,15
908,5,8,7
909,14,14,11
910,6,7,13
911,15,13,16
912,0,0,5
913,2,2,5
914,8,14,14
915,3,4,8
916,16,20,14
917,8,7,10
918,5,3,15
919,6,5,11
920,3,5,15
921,4,3,7
922,5,7,12
923,1,1,5
924,10,6,17
925,12,6,12
926,13,15,15
927,5,6,8
928,10,10,17
929,7,8,9
930,5,5,11
931,8,2,8
932,7,10,13
933,2,1,9
934,3,2,8
935,6,9,14
936,7,4,13
937,7,9,10
938,5,2,10
939,7,3,9
940,12,5,11
941,20,21,32
942,13,10,12
943,12,15,9
944,5,4,8
945,11,3,15
946,11,11,19
947,6,3,7
948,3,4,9
949,2,2,9
950,7,6,16
951,1,3,7
952,7,2,6
953,8,7,4
954,5,1,2
955,2,1,10
956,5,7,11
957,11,9,13
958,5,6,9
959,3,9,16
960,11,15,10
961,3,1,7
962,3,3,6
963,3,2,10
964,11,10,17
965,7,9,10
966,4,4,9
967,2,0,11
968,14,9,13
969,12,13,19
970,3,1,5
971,5,7,8
972,7,6,12
973,2,5,3
974,2,7,10
975,1,3,2
976,0,1,7
977,4,3,11
978,5,4,11
979,8,6,12
980,7,8,15
981,4,5,12
982,9,3,11
983,2,2,9
984,6,3,9
985,5,5,6
986,4,5,7
987,6,5,12
988,10,6,14
989,7,11,11
990,1,2,5
991,7,5,9
992,5,8,15
993,2,2,13
994,10,8,8
995,1,0,3
996,6,3,4
997,6,11,16
998,0,1,3
999,13,11,10
1000,8,3,10
