episode,action_0,action_1,action_2,action_3,action_4
611,67,58,126,115,84
612,72,60,113,128,77
613,88,64,112,109,77
614,62,61,129,120,78
615,71,66,104,140,69
616,61,54,145,131,59
617,70,57,110,144,69
618,72,63,113,140,62
619,57,38,128,161,66
620,65,51,124,137,73
621,60,47,137,124,82
622,85,58,109,132,66
623,64,58,124,140,64
624,68,62,138,119,63
625,88,84,111,108,59
626,90,42,101,112,68
627,76,50,133,124,67
628,83,63,126,118,60
629,67,59,131,126,67
630,100,77,89,106,78
631,54,62,132,134,68
632,85,94,99,98,74
633,95,77,105,95,78
634,58,83,106,125,78
635,76,60,139,113,62
636,78,56,127,113,76
637,99,82,100,90,79
638,85,47,113,138,67
639,98,57,110,114,71
640,88,87,97,110,68
641,98,70,103,103,76
642,79,72,89,123,87
643,92,45,125,112,76
644,84,86,100,97,83
645,83,48,121,125,73
646,100,51,107,118,74
647,84,59,117,109,81
648,85,71,116,94,84
649,90,68,116,107,69
650,94,78,103,98,77
651,100,67,101,114,68
652,92,42,127,117,72
653,82,66,115,103,84
654,62,53,129,120,86
655,63,50,132,112,93
656,92,81,121,90,66
657,93,54,129,109,65
658,57,38,94,73,52
659,74,50,122,127,77
660,67,52,138,124,69
661,63,62,129,112,84
662,75,89,98,114,74
663,79,65,101,116,89
664,88,85,104,104,69
665,70,103,124,82,71
666,72,69,115,123,71
667,54,47,122,81,72
668,85,80,106,102,77
669,71,67,119,114,79
670,83,71,111,100,85
671,88,65,115,105,77
672,70,77,110,100,93
673,82,82,110,93,83
674,90,84,105,95,76
675,88,60,142,97,63
676,83,64,147,89,67
677,68,99,120,81,82
678,76,74,122,98,80
679,94,63,150,72,71
680,61,73,154,88,74
681,76,67,146,86,75
682,81,68,116,101,84
683,66,58,168,87,71
684,61,70,142,89,88
685,62,60,158,95,75
686,64,81,139,86,80
687,81,86,123,79,81
688,61,89,132,82,86
689,73,73,119,102,83
690,70,95,104,88,93
691,80,81,126,76,87
692,65,68,125,109,83
693,78,77,111,81,103
694,77,78,142,71,82
695,56,68,131,113,82
696,76,80,105,98,91
697,75,85,102,110,78
698,84,88,101,95,82
699,81,69,106,112,82
700,57,64,133,100,96
701,80,67,129,102,72
702,81,93,102,90,84
703,55,52,154,97,92
704,75,68,115,94,98
705,58,58,137,93,104
706,83,69,120,89,89
707,92,51,119,108,80
708,65,62,128,106,89
709,80,52,126,96,96
710,56,69,133,94,98
711,56,93,110,104,87
712,66,60,113,121,90
713,74,60,126,96,94
714,83,78,116,87,86
715,61,76,119,110,84
716,73,70,147,91,69
717,88,89,114,82,77
718,88,82,112,82,86
719,86,57,142,88,77
720,73,76,127,89,85
721,85,78,97,95,95
722,84,71,122,84,89
723,80,69,111,105,85
724,68,61,138,106,77
725,81,81,106,85,97
726,67,91,119,96,77
727,88,61,108,98,95
728,80,77,107,84,102
729,74,82,114,92,88
730,63,79,105,91,112
731,77,74,119,86,94
732,67,79,120,84,100
733,79,85,112,75,99
734,64,72,117,85,112
735,83,107,94,72,94
736,75,67,128,81,99
737,66,88,111,101,84
738,81,68,96,78,127
739,77,87,113,80,93
740,60,66,119,86,119
741,60,72,142,73,103
742,76,67,129,69,109
743,62,56,162,88,82
744,54,66,138,80,112
745,58,66,133,74,119
746,68,83,113,89,97
747,39,86,119,90,116
748,44,60,165,89,92
749,39,60,150,86,113
750,62,92,125,81,90
751,47,68,169,86,80
752,39,55,157,77,122
753,52,69,139,96,94
754,47,62,139,89,113
755,59,58,141,99,93
756,39,67,144,97,103
757,57,77,126,99,91
758,48,65,128,108,101
759,55,81,146,96,72
760,51,53,164,85,97
761,42,77,151,94,86
762,79,55,131,106,79
763,68,89,108,100,85
764,60,50,156,96,88
765,54,69,150,100,77
766,71,72,123,86,98
767,66,82,121,102,79
768,51,70,153,87,89
769,50,87,129,90,94
770,62,83,125,98,82
771,77,81,130,86,76
772,51,79,148,103,69
773,59,91,124,94,82
774,51,93,134,91,81
775,51,92,137,96,74
776,50,67,163,86,84
777,78,89,111,93,79
778,71,81,121,93,84
779,60,88,125,97,80
780,47,74,157,97,75
781,53,66,161,97,73
782,56,53,171,95,75
783,53,64,162,97,74
784,56,83,134,109,68
785,45,53,106,61,68
786,47,57,179,80,87
787,41,70,186,90,63
788,50,67,150,95,88
789,60,73,136,91,90
790,56,79,120,101,94
791,18,18,58,30,28
792,52,55,166,86,91
793,52,84,119,106,89
794,61,77,138,95,79
795,60,87,126,94,83
796,31,70,171,79,99
797,81,81,115,86,87
798,59,77,130,90,94
799,60,77,141,97,75
800,62,64,142,101,81
801,61,83,119,96,91
802,60,92,120,107,71
803,51,57,148,109,85
804,48,44,177,91,90
805,46,71,128,109,96
806,49,62,120,120,99
807,51,67,156,90,86
808,54,71,142,105,78
809,63,76,137,104,70
810,66,88,136,89,71
811,36,59,198,84,73
812,42,69,157,95,87
813,50,80,134,97,89
814,58,56,160,86,90
815,62,70,142,83,93
816,53,65,147,85,100
817,55,99,140,76,80
818,62,83,131,87,87
819,74,97,116,80,83
820,57,88,133,85,87
821,50,84,144,74,98
822,50,97,145,76,82
823,41,78,165,84,82
824,45,70,149,94,92
825,54,88,140,82,86
826,36,74,186,78,76
827,45,75,165,86,79
828,44,88,149,79,90
829,37,66,161,61,80
830,35,65,204,58,88
831,27,61,190,73,99
832,13,18,78,35,35
833,23,56,200,68,103
834,40,66,195,69,80
835,37,69,174,68,102
836,42,84,136,101,87
837,42,74,145,93,96
838,50,83,136,96,85
839,36,77,143,110,84
840,39,79,155,104,73
841,31,78,172,81,88
842,40,67,166,88,89
843,35,72,175,91,77
844,34,84,171,74,87
845,45,86,139,84,96
846,51,101,137,90,71
847,41,80,153,92,84
848,53,89,146,75,87
849,46,97,120,101,86
850,41,96,134,82,97
851,47,108,139,75,81
852,58,96,111,94,91
853,22,65,181,80,102
854,45,80,155,72,98
855,40,101,139,87,83
856,42,87,143,86,92
857,50,96,121,102,81
858,52,91,141,81,85
859,40,100,141,96,73
860,48,118,121,82,81
861,57,85,136,81,91
862,32,90,140,98,90
863,37,84,174,82,73
864,46,95,133,85,91
865,50,125,129,85,61
866,49,91,151,75,84
867,33,78,175,80,84
868,32,85,174,75,84
869,33,88,129,94,106
870,28,90,154,80,98
871,55,95,140,67,93
872,30,70,174,84,92
873,54,61,137,103,95
874,48,98,147,77,80
875,43,82,150,79,96
876,49,91,123,86,101
877,46,89,159,77,79
878,48,87,154,77,84
879,21,78,178,78,95
880,37,69,172,69,103
881,22,58,195,93,82
882,43,76,153,98,80
883,40,77,173,74,86
884,25,87,169,91,78
885,31,51,205,81,82
886,35,84,155,90,86
887,30,63,178,97,82
888,23,57,214,86,70
889,18,38,238,82,74
